Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,R/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR
0.0318382279560251,0.1442353679524013,0.0749708466404921,0.0466812269821343,0.0505576965608768,0000SET_000_DJI_0011.T,717.4626725607434,1251.8184193595105,147276.13251783006,inf,171.6465338818059,-0.2990432880422302,7.932277725143739,-0.13865310101528372,-0.23254531399205133,-0.19448285988990163,0.6743647541199083,0.622658394215353,0.5049144356021836,9.986895565825737,0.6383531807621654,4.530257404765708,1.9238860759310021
0.0318392287493821,0.1530672802320253,0.0773844282479022,0.0245233022483222,0.0640480506828743,0000SET_000_DJI_0021.T,619151.4171218431,402.78974693989056,320683.9957904929,inf,2508871219.873412,-0.2975501977266528,8.156803435962086,-0.07212497622984651,-0.518715564974126,-0.09429501388825506,0.827660708142669,0.3169022864620958,-0.6001140023077657,-9.369746556052942,0.6556180858664787,4.807505905274035,1.9780113867569313
0.0318098602557099,0.1553915400994716,0.0778144384263596,0.0230596550216114,0.0637319201462604,0000SET_000_DJI_0031.T,1690668.7913880337,443.78916685980903,373748.8326549451,inf,4750737454.645323,-0.2960558737058694,8.217405601186332,-0.07522656483007131,-0.5428032266083235,-0.09949050206667236,0.8190243537717449,0.29634159788268744,-0.7602574343367516,-11.928989940864998,0.6601536078751941,4.885011718075016,1.996949965095845
0.0304095851511477,0.1465145096685348,0.076895654613805,0.0236645583877649,0.0604726977489819,0000SET_000_DJI_0041.T,844094.5708169742,530.097454600246,492424.2242613147,inf,907363215.674844,-0.3172796303098202,8.172425357452457,-0.09282487431438351,-0.5293454999464757,-0.1195541519013813,0.786425423552156,0.3077489684770357,-0.5668055847468865,-9.372917131953635,0.6562414499603286,4.818037107060144,1.9053678703221701
0.031332655491396,0.1481590691959285,0.0754141465156494,0.0229465290333321,0.0610558858276106,0000SET_000_DJI_0051.T,756132.490233633,393.8767422317536,205973.44820786803,inf,1333698825.2646232,-0.2975281315108639,8.096799982138995,-0.07999399812470999,-0.5334206702981574,-0.10521182153693485,0.8096078607074169,0.30427353611394914,-0.7121553446754604,-11.66399168601384,0.6508735369724967,4.72858322642373,1.9646057940227912
0.0312099310695456,0.1457298065508239,0.0748394381643814,0.0225676681990471,0.0632987740201608,0000SET_000_DJI_0061.T,770072.1311286982,292.00353729895943,179352.64505200073,inf,3704107826.164267,-0.29938629665043726,8.049770764404045,-0.06522369875432676,-0.5366319965435268,-0.08354432826163369,0.8457943508491865,0.30154780357220545,-0.7766820588927407,-12.270096394684764,0.6472253040579542,4.6693408654473405,1.9472327709186572
0.0307581952016723,0.1502656563265732,0.0783561199008013,0.0211978704897819,0.0637523864978946,0000SET_000_DJI_0071.T,7408240.912088326,482.27895091533753,697637.1752254822,inf,13110781462.39482,-0.3167585053212968,8.223074385273478,-0.08067297916610758,-0.5741432280792432,-0.10276466745723759,0.8136235762899566,0.27053241682485507,-0.9347941946070923,-14.66288943768346,0.660175220646291,4.885386003350527,1.9177271222312853
0.0310942861632047,0.1526276207650381,0.0793667042431841,0.0226173185544777,0.0635102479765624,0000SET_000_DJI_0081.T,4033927.680330894,580.0364627316659,852184.8855658219,inf,6591241329.654555,-0.3162757686847006,8.239210150127231,-0.08630683477945188,-0.5564536888420085,-0.11097980479198817,0.8002127413778377,0.284972379414634,-0.7655307251658907,-12.053656686215419,0.6615070387294711,4.9085423593241835,1.9230686497624798
0.0318616473282833,0.150332864754316,0.0782333954746487,0.0220356414869217,0.0646833387188515,0000SET_000_DJI_0091.T,3871249.4342925143,432.91350854606554,420331.74808352505,inf,12000188519.749414,-0.3084604834887515,8.085893301808637,-0.07437137705692355,-0.5604696693084389,-0.0948108479546649,0.8267995825364878,0.28166541095691394,-0.9052645679009168,-13.995328408072478,0.6502458063738102,4.718301700014954,1.9215945293213168
0.032269055398655,0.0776646141297458,0.0794741609200014,0.0192565461238041,0.0666544863663917,0000SET_000_DJI_0101.T,60203856.8150586,436.7489916355633,537173.986172162,inf,116509813036.00935,-0.6078071210459627,5.53932343935927,-0.11661281396867959,-0.6099177915284204,-0.08772868832820176,0.8386938043106366,0.2422994580991892,-1.3958083478261991,-20.940951223502175,0.4129358996732397,2.406783005274549,0.9772310047780551
